Date,Confirmed
01-22,28
01-23,2
01-24,6
01-25,3
01-26,13
01-27,9
01-28,46
01-29,19
01-30,17
01-31,79
02-01,62
02-02,188
02-03,151
02-04,229
02-05,272
02-06,363
02-07,524
02-08,605
02-09,628
02-10,702
02-11,737
02-12,467
02-13,1145
02-14,1763
02-15,1337
02-16,1470
02-17,1718
02-18,1769
02-19,1769
02-20,2056
02-21,713
02-22,3996
02-23,508
02-24,1833
02-25,2678
02-26,2479
02-27,2893
02-28,3434
02-29,3071
