Date,Confirmed
01-22,555
01-23,98
01-24,288
01-25,493
01-26,684
01-27,809
01-28,2651
01-29,588
01-30,2068
01-31,1693
02-01,2111
02-02,4749
02-03,3094
02-04,4011
02-05,3744
02-06,3182
02-07,3574
02-08,2729
02-09,3030
02-10,2612
02-11,2040
02-12,419
02-13,15148
02-14,6517
02-15,2145
02-16,2194
02-17,2034
02-18,1878
02-19,503
02-20,558
02-21,644
02-22,1756
02-23,286
02-24,585
02-25,845
02-26,982
02-27,1359
02-28,1368
